frame,trunk_angle,neck_angle,left_arm_angle,right_arm_angle
0,42.222185964882456,-9.567451,27.454212,50.334743
1,43.68487683705896,-9.211773,26.544746,53.469246
2,47.75531541712053,-7.4807463,22.920189,59.8809
3,46.07358649111805,-6.436509,22.244488,58.724476
4,43.593956765590555,-5.429956,21.247168,53.336834
5,41.53993699958798,-5.0113606,27.816208,48.55844
6,41.258156291431945,-4.11948,28.794672,43.677223
7,39.0781356753765,-4.821995,37.44423,41.3176
8,38.5648752683564,-4.7733703,41.341232,39.002583
9,39.210028002857854,-3.3269525,40.328842,37.338806
10,40.539286636938755,-3.132321,39.98434,36.546413
11,41.2164350693194,-1.2574352,45.44416,36.826485
12,43.01637208080329,1.4272006,39.778015,37.3145
13,44.215394574516225,4.5428514,37.769573,39.171677
14,45.09510528865165,5.801507,36.19326,41.249237
15,47.46148592083741,6.6818323,39.152927,42.804874
16,49.921307558320564,5.652132,39.33699,40.415455
17,52.52396859607557,5.612153,32.621124,38.318336
18,53.130450693009486,3.377077,31.936806,36.60903
19,51.93045064395567,1.8092374,31.196276,34.538742
20,51.81276751173122,0.5993218,30.732859,33.386234
21,53.25852416680873,0.11950597,30.0397,32.861485
22,53.316734174713936,-0.42745656,29.26474,31.844051
23,53.74519634317131,-0.037474066,29.398977,31.77593
24,54.44010419074869,-0.40770414,30.28533,32.132446
25,54.81486223187196,-0.72213364,30.845795,32.08714
26,55.35613542810532,0.29725698,31.800144,32.23234
27,57.27460183418196,2.0104773,31.627602,32.842903
28,58.62031163092455,2.7557843,32.838295,34.482403
29,60.79321545052163,2.9138315,34.404842,37.092957
30,62.07034577476151,2.9108846,36.685413,41.0528
31,62.568805962585024,2.3933747,39.767532,43.98902
32,62.84962731587862,2.6496062,42.153522,47.122826
33,63.09800615604801,2.6986082,44.683342,49.581882
34,63.46928865809402,4.0583487,44.903687,50.02536
35,62.24923739887631,4.9125614,44.74621,49.29265
36,61.2855246221854,6.388708,43.430656,48.77269
37,61.61481044213062,7.7846804,42.544617,46.117153
38,61.88521812272064,9.672096,41.71612,44.18256
39,62.010586958498294,11.60429,42.0955,45.982784
40,64.36945500690518,11.836986,45.15138,49.667362
41,65.4601333440418,9.899724,49.196518,52.532387
42,66.60713675237197,9.734056,47.235653,51.540688
43,66.06514752348471,10.004683,46.50782,51.3379
44,66.97513884822268,10.610056,45.431454,50.206676
45,69.91591806785031,9.01417,48.722317,51.734272
46,70.35920449099203,9.483589,50.590515,53.492317
47,72.6150430012467,8.342209,52.726067,55.985924
48,80.04242197686337,6.8063087,59.25132,62.530125
49,86.15925246766719,3.0575798,66.846176,69.912636
50,89.31457438160226,-1.8541365,71.59324,75.65179
51,90.96060011751186,-5.407629,74.70604,78.27378
52,91.68311177263932,-8.2211,74.85971,77.25776
53,92.55456692204235,-7.8686047,77.56442,78.19367
54,94.18203833784814,-9.955484,80.86426,79.89961
55,93.13874149754332,-11.439577,82.9859,79.52809
56,93.10599057240962,-14.318023,86.538605,79.907776
57,93.95069785865478,-16.681185,88.75281,80.367775
58,95.302964011936,-19.118385,90.851326,81.21707
59,95.13928579217965,-20.912582,92.67827,82.23294
60,94.4874217169109,-22.453154,92.22747,82.83982
61,92.76707245869613,-23.171444,91.388954,83.53581
62,91.4297405859518,-23.188225,91.31425,84.83403
63,90.67628911504795,-22.405123,90.332054,85.21061
64,90.20407922684268,-21.726582,87.27648,84.15415
65,89.12942975794674,-20.657999,87.467415,82.64835
66,86.82337710715613,-18.480053,88.71964,80.45121
67,84.4779802025784,-16.99487,88.95192,79.772865
68,81.02713234551338,-15.168625,87.303764,77.79704
69,79.66621251442649,-12.805194,84.75629,75.6442
70,79.59602938507777,-11.776715,83.98651,74.9151
71,79.3115573239528,-10.940738,82.522064,74.088974
72,79.99673415075452,-11.257258,83.80662,74.8515
73,80.8485208959431,-12.743775,87.18639,77.32162
