frame,time_seconds,fps,trunk_angle_skin,trunk_angle_joints,neck_angle_skin,neck_angle_joints,left_arm_angle,right_arm_angle
0,0.0,25,43.77041340046745,37.43560919552473,-1.3134531,-4.526349,39.3024,42.864136
1,0.04,25,46.65152864251195,38.7170630360362,-0.03290635,-3.3109655,39.360775,43.08245
2,0.08,25,53.14953860042302,45.012310494840094,2.738803,-0.81702644,34.59966,57.16292
3,0.12,25,50.92456553702619,42.395825339687256,0.35807517,-3.0395818,32.250854,52.14346
4,0.16,25,48.72886190048255,39.977510826915534,-0.55235136,-3.7132432,29.177979,50.729298
5,0.2,25,48.0635957061386,39.01526619974633,-3.5669787,-5.62351,28.908245,48.905285
6,0.24,25,48.73389167917688,38.96922975424147,-1.777864,-3.0307367,31.576803,46.7531
7,0.28,25,47.997935294317124,38.45014418715896,-3.6153224,-5.1365876,45.036373,43.965637
8,0.32,25,47.619803336386916,38.119725917370324,-3.39701,-5.3093414,50.250507,41.021576
9,0.36,25,48.4828924161979,38.64941292363127,-1.7763344,-3.2780375,48.503334,40.08451
10,0.4,25,49.140592832282714,39.91118692010553,-4.1893096,-6.067129,45.045593,38.316505
11,0.44,25,50.97861857366528,40.64345687190204,2.56729,1.6141727,59.381752,42.326702
12,0.48,25,51.54619942056847,41.038878239750574,3.1856241,2.4108896,43.797623,40.59372
13,0.52,25,52.845754590213076,41.617506892619524,5.9911413,5.9403615,40.324097,41.53234
14,0.56,25,53.940183332046296,42.7189610422773,4.445556,4.754389,42.55802,42.507496
15,0.6,25,55.32149162530651,44.14600223275401,3.5611427,4.2933297,46.182667,44.06526
16,0.64,25,56.25976989756663,45.44380462743034,0.6252848,0.75146246,44.0264,38.08386
17,0.68,25,55.534626598529314,44.77902245091303,-1.3510264,-1.1569422,32.333996,35.212284
18,0.72,25,56.557742335048445,45.58391344517527,0.3397288,0.54931265,34.129574,33.191475
19,0.76,25,56.23130893959259,45.17641360119663,-0.23454653,0.16556266,34.01539,31.698542
20,0.8,25,56.460798244517854,45.908869912273445,-1.589752,-1.7918264,34.729416,29.325033
21,0.84,25,57.96399535732193,47.124340267725515,-1.7061391,-1.3755696,34.585934,28.886002
22,0.88,25,58.58154989698797,47.4230601170308,-1.6710236,-0.6902847,33.69985,29.829887
23,0.92,25,59.486113740785484,48.033398944008745,-0.67972493,0.60476375,33.30115,31.4311
24,0.96,25,61.03978560992489,49.552917123046974,0.24495205,1.6195531,34.537704,34.488228
25,1.0,25,60.823016657675275,49.29919265447158,-1.0500466,0.7108381,35.414257,32.908855
26,1.04,25,62.07320220363969,49.95445688068926,2.16524,4.5732574,36.121414,35.62437
27,1.08,25,63.86592872362507,51.93893948910772,2.85222,5.300917,34.911083,38.61112
28,1.12,25,65.54310760025818,53.97027711051949,2.7265162,4.9234877,35.77493,41.22948
29,1.16,25,66.81396234527838,55.35780829415407,0.9501693,3.1242127,41.318405,44.44805
30,1.2,25,68.33971171005655,56.70748686026037,0.9254099,3.4433744,43.83312,48.95698
31,1.24,25,68.9257630977439,57.72154742796461,-0.80900586,1.6278919,47.303173,51.50075
32,1.28,25,69.88672382215603,58.606894072256516,0.5191191,3.0090296,47.80253,55.138737
33,1.32,25,70.56872187984085,59.561679739606426,1.4971861,3.8624072,51.953426,58.891308
34,1.36,25,72.09230852506619,60.628146315448625,2.7106876,5.298966,54.078873,60.573036
35,1.4,25,71.48972822486115,59.37347993269858,2.1150267,5.5765214,52.526337,61.01837
36,1.44,25,71.2268622005585,59.32021717127554,2.3248289,5.485223,51.14146,61.30904
37,1.48,25,71.442346951269,58.97938781800661,3.1958842,6.598312,49.390617,52.48853
38,1.52,25,72.15797989173983,59.2285691667157,3.2871826,6.8866606,48.729618,52.22687
39,1.56,25,73.1150115915383,59.510220395703016,1.5967138,6.9783854,48.37515,54.87819
40,1.6,25,73.15302604011663,59.521946547882706,0.7768558,6.072634,48.972664,54.108
41,1.64,25,73.76217170968836,60.23193148512059,1.4606298,6.206085,49.056557,53.840977
42,1.68,25,75.64626058194787,62.89699350106103,1.5634981,4.9830656,48.77026,53.989006
43,1.72,25,75.21631556046603,62.39279215113193,2.2715762,5.3786244,48.828487,54.451668
44,1.76,25,75.54202441277128,62.43041109267006,2.8173497,6.589804,47.66421,50.672752
45,1.8,25,77.14528386137384,63.973897053798716,1.9920427,5.273649,52.2789,51.758144
46,1.84,25,76.8862501604049,63.6890438599425,2.2724986,6.1031036,52.041824,52.477066
47,1.88,25,77.09749643689001,63.425128355729136,3.736959,8.223473,53.024273,54.288406
48,1.92,25,80.19250119408838,62.806362802817866,4.745511,12.622301,55.808434,55.111347
49,1.96,25,84.47911887023189,67.51268979146747,2.0622594,9.631563,60.83764,61.64227
50,2.0,25,87.5641884272181,71.37626962771542,-4.342932,3.4669378,64.113335,67.42669
51,2.04,25,88.81522043044036,71.89694266463796,-4.360522,4.927851,66.30426,67.25493
52,2.08,25,87.5964999120571,71.14173746366757,-3.9231558,4.2247896,63.102303,63.459763
53,2.12,25,88.5751891384483,69.73695749935752,6.431323,16.495335,64.3842,63.1621
54,2.16,25,91.46193447407066,73.1636965471126,-0.3167596,10.733791,67.85766,67.68326
55,2.2,25,89.5161600838203,72.83693590273458,-6.558509,3.6895616,69.92296,65.94185
56,2.24,25,88.78121386870056,73.26130177198391,-8.660564,0.41254365,73.16379,66.55436
57,2.28,25,88.85024212971703,74.17969767511734,-10.341286,-2.492181,74.64082,67.20177
58,2.32,25,89.39459875990296,74.76275328897935,-9.885417,-2.0661376,74.89826,66.32552
59,2.36,25,89.05888141101045,74.84382640636093,-12.269368,-4.789796,75.081154,66.273994
60,2.4,25,88.39155549911791,74.52885830505677,-10.91426,-4.328141,73.741844,67.58014
61,2.44,25,87.4729420287947,73.56962109175691,-10.570023,-4.762695,74.05566,68.022095
62,2.48,25,87.30732763712085,73.42284837144287,-11.071458,-5.4290786,76.36426,72.019875
63,2.52,25,87.76410160058315,73.67405074859043,-9.894314,-4.171667,76.167496,72.991745
64,2.56,25,86.66255340272473,72.87930035611902,-9.330907,-3.551266,70.175766,69.401695
65,2.6,25,86.10737776914786,71.94234447301811,-4.2961493,0.8909862,69.70737,67.08631
66,2.64,25,84.12356414498686,69.9220376963107,0.4472721,4.7511206,68.85812,63.429546
67,2.68,25,82.09522935632333,67.80615967575078,-0.8599005,3.9295242,73.42003,62.544743
68,2.72,25,78.34659159852644,64.44206793845474,0.3242093,6.1745224,72.15685,62.223114
69,2.76,25,77.7324330874176,63.38207982391282,2.416307,8.710115,72.311554,60.938385
70,2.8,25,78.19557415881386,64.0005715324116,-0.20367016,6.3948,72.21794,62.776833
71,2.84,25,78.38318668587549,64.3407816519936,1.1098876,7.026773,70.45117,63.919975
72,2.88,25,78.4752860161033,65.15790762833305,-2.246733,3.1967611,72.08061,66.02355
73,2.92,25,78.4405452399608,65.23682749030806,-4.4173207,0.42980334,74.95549,67.42824
74,2.96,25,77.95969620515922,65.99502804280179,-4.3956947,-0.82465535,76.54489,73.98599
75,3.0,25,78.08453286067952,66.34282296743667,-5.322658,-1.6100223,76.28605,74.05591
76,3.04,25,78.43323020163075,66.63035152803883,-5.9868884,-2.122655,74.87559,73.44113
77,3.08,25,78.56158000431388,67.02088596714826,-6.5112143,-2.8683565,71.70399,71.045166
78,3.12,25,77.35119235225335,65.76722448799052,-7.16386,-3.4239326,69.60701,68.011024
79,3.16,25,77.43508852019792,65.18866328660499,-7.58462,-3.2561114,67.599686,65.739685
80,3.2,25,77.78175370707176,65.51638872773982,-7.467167,-2.8368297,65.97815,64.732925
81,3.24,25,77.07984052747284,65.18855229624528,-6.0935736,-2.4145837,63.94927,61.38761
