frame,time_sec,neck_angle,confidence,trunk_length,neck_length,shoulder_width,is_flexion,is_extension,neck_forward_component,neck_up_component,coordinate_system_quality,error
0,0.0,-9.567451,1.0,0.36971074,0.32923543,0.37316474,False,False,-0.16572782,0.98323834,0.9963024,
1,0.03333333333333333,-9.211773,1.0,0.36998147,0.32908764,0.37181544,False,False,-0.159427,0.983052,0.9938424,
2,0.06666666666666667,-7.4807463,1.0,0.3711262,0.32929245,0.36998597,False,False,-0.12925282,0.9843285,0.98863417,
3,0.1,-6.436509,1.0,0.3729067,0.32982534,0.3695834,False,False,-0.11077113,0.98189825,0.9876062,
4,0.13333333333333333,-5.429956,1.0,0.37457895,0.33048165,0.37034562,False,False,-0.093178555,0.9802556,0.9903381,
5,0.16666666666666666,-5.0113606,1.0,0.3772783,0.33122587,0.3735336,False,False,-0.08544688,0.9744369,0.99020797,
6,0.2,-4.11948,1.0,0.38014323,0.33216804,0.37522432,False,False,-0.07009659,0.97325766,0.99347615,
7,0.23333333333333334,-4.821995,1.0,0.38483247,0.33340928,0.37812433,False,False,-0.08165465,0.96794295,0.9939469,
8,0.26666666666666666,-4.7733703,1.0,0.3892716,0.33494854,0.38107443,False,False,-0.0805783,0.96495974,0.9945024,
9,0.3,-3.3269525,1.0,0.39237404,0.33619055,0.38289034,False,False,-0.05620694,0.96689093,0.99576384,
10,0.3333333333333333,-3.132321,1.0,0.39465103,0.3369783,0.38400972,False,False,-0.052842528,0.9656216,0.9970382,
11,0.36666666666666664,-1.2574352,1.0,0.39633656,0.33745486,0.3843127,False,False,-0.021327183,0.9716296,0.99815476,
12,0.4,1.4272006,1.0,0.39624226,0.33762515,0.38264057,False,False,0.024298653,0.9752815,0.9989332,
13,0.43333333333333335,4.5428514,1.0,0.39538276,0.33744118,0.38122195,False,False,0.07763657,0.9771224,0.99945277,
14,0.4666666666666667,5.801507,1.0,0.39489496,0.33712134,0.37857592,False,False,0.099124625,0.9756085,0.9997124,
15,0.5,6.6818323,1.0,0.39367858,0.33641356,0.37629348,False,False,0.113891795,0.9721748,0.9996666,
16,0.5333333333333333,5.652132,1.0,0.39258477,0.33567995,0.3742092,False,False,0.09654969,0.9755493,0.9995831,
17,0.5666666666666667,5.612153,1.0,0.38915744,0.33448958,0.37174642,False,False,0.09616761,0.9786556,0.9999346,
18,0.6,3.377077,1.0,0.389326,0.3339528,0.3701205,False,False,0.057957917,0.98217994,0.99998486,
19,0.6333333333333333,1.8092374,1.0,0.38931987,0.33350065,0.36911002,False,False,0.031039149,0.9826355,0.99999225,
20,0.6666666666666666,0.5993218,1.0,0.38941416,0.33318502,0.36859998,False,False,0.010285482,0.9832667,0.9999864,
21,0.7,0.11950597,1.0,0.38927364,0.33288306,0.36802214,False,False,0.0020535588,0.98455393,0.99999386,
22,0.7333333333333333,-0.42745656,1.0,0.38974193,0.3328378,0.36749998,False,False,-0.007349834,0.98514485,0.99997807,
23,0.7666666666666667,-0.037474066,1.0,0.38976496,0.33274218,0.36742914,False,False,-0.0006453842,0.9867566,0.9999728,
24,0.8,-0.40770414,1.0,0.39013934,0.33267933,0.36744335,False,False,-0.0070207864,0.98663366,0.9998863,
25,0.8333333333333334,-0.72213364,1.0,0.39030474,0.33262083,0.36730298,False,False,-0.012424096,0.9857048,0.9997497,
26,0.8666666666666667,0.29725698,1.0,0.39014357,0.33257324,0.36682123,False,False,0.0051218867,0.9872261,0.99973804,
27,0.9,2.0104773,1.0,0.3892207,0.33232048,0.36588675,False,False,0.03471324,0.9888724,0.9998247,
28,0.9333333333333333,2.7557843,1.0,0.38888848,0.33215782,0.36499864,False,False,0.047621176,0.9893328,0.99987113,
29,0.9666666666666667,2.9138315,1.0,0.38845703,0.33186325,0.3648684,False,False,0.050360784,0.9894094,0.9999408,
30,1.0,2.9108846,1.0,0.3883587,0.3315602,0.36469433,False,False,0.05027248,0.98867613,0.9998445,
31,1.0333333333333334,2.3933747,1.0,0.38841537,0.33133224,0.36486015,False,False,0.041319862,0.9885942,0.9996089,
32,1.0666666666666667,2.6496062,1.0,0.38863313,0.3312501,0.36452794,False,False,0.04576008,0.98882246,0.99924463,
33,1.1,2.6986082,1.0,0.38998142,0.33168793,0.36422303,False,False,0.046575144,0.9881336,0.998697,
34,1.1333333333333333,4.0583487,1.0,0.38952774,0.33157125,0.3636812,False,False,0.07005195,0.9873391,0.9987992,
35,1.1666666666666667,4.9125614,1.0,0.38727236,0.33078626,0.3622439,False,False,0.08495271,0.9883842,0.99984103,
36,1.2,6.388708,1.0,0.38490504,0.33001813,0.3607262,False,False,0.110545844,0.98729485,0.9999987,
37,1.2333333333333334,7.7846804,1.0,0.38248384,0.32937482,0.35975605,False,False,0.13466121,0.9850094,0.9997821,
38,1.2666666666666666,9.672096,1.0,0.3789019,0.32837862,0.35810456,False,False,0.16717683,0.9809008,0.998916,
39,1.3,11.60429,1.0,0.37467465,0.32687652,0.35583067,False,False,0.2000547,0.9742201,0.9982953,
40,1.3333333333333333,11.836986,1.0,0.37219697,0.3256649,0.35374215,False,False,0.20360675,0.97147727,0.9985551,
41,1.3666666666666667,9.899724,1.0,0.3734763,0.32566434,0.35246292,False,False,0.17037067,0.9762076,0.9987716,
42,1.4,9.734056,1.0,0.37255743,0.32555073,0.35070837,False,False,0.16786262,0.9785343,0.99808145,
43,1.4333333333333333,10.004683,1.0,0.37223434,0.3255723,0.35034353,False,False,0.17273054,0.97913563,0.9977624,
44,1.4666666666666666,10.610056,1.0,0.37234712,0.3258297,0.3508614,False,False,0.18324775,0.978226,0.9976406,
45,1.5,9.01417,1.0,0.37212402,0.32542196,0.35130182,False,False,0.15606561,0.98378474,0.9970534,
46,1.5333333333333334,9.483589,1.0,0.37107262,0.32513103,0.35251018,False,False,0.16450502,0.98477584,0.99665374,
47,1.5666666666666667,8.342209,1.0,0.37144142,0.32509026,0.35358977,False,False,0.14499065,0.98877484,0.9968471,
48,1.6,6.8063087,1.0,0.36918113,0.32364547,0.35415083,False,False,0.11838419,0.99187064,0.997748,
49,1.6333333333333333,3.0575798,1.0,0.36894932,0.32261464,0.3534588,False,False,0.053221628,0.99636954,0.99875516,
50,1.6666666666666667,-1.8541365,1.0,0.36891392,0.32190537,0.35301918,False,False,-0.032202527,0.99476206,0.9994861,
51,1.7,-5.407629,1.0,0.36836818,0.32150173,0.35242477,False,False,-0.0935946,0.98872226,0.99964803,
52,1.7333333333333334,-8.2211,1.0,0.3676493,0.3212979,0.35174105,False,False,-0.14164145,0.98036605,0.99974334,
53,1.7666666666666666,-7.8686047,1.0,0.36637315,0.32079604,0.35053006,False,False,-0.13546951,0.9802211,0.9998867,
54,1.8,-9.955484,1.0,0.365443,0.32044664,0.3500031,False,False,-0.17057341,0.97178435,0.9999509,
55,1.8333333333333333,-11.439577,1.0,0.36496022,0.32039416,0.34958243,False,False,-0.19496334,0.9634751,0.99998724,
56,1.8666666666666667,-14.318023,1.0,0.3641795,0.32033932,0.34933743,False,False,-0.24175991,0.9472169,0.9999992,
57,1.9,-16.681185,1.0,0.3632746,0.3201947,0.34890595,False,True,-0.2782503,0.92856425,0.99994856,
58,1.9333333333333333,-19.118385,1.0,0.36159793,0.3198878,0.34787014,False,True,-0.31452072,0.9073399,0.9997886,
59,1.9666666666666666,-20.912582,1.0,0.36000475,0.31949592,0.34708145,False,True,-0.33945996,0.88837224,0.9995816,
60,2.0,-22.453154,1.0,0.35895768,0.3193825,0.34637678,False,True,-0.36009043,0.8713495,0.9992319,
61,2.033333333333333,-23.171444,1.0,0.3585699,0.31945032,0.34584475,False,True,-0.3677913,0.85930383,0.9982505,
62,2.066666666666667,-23.188225,1.0,0.35868004,0.31958506,0.34586662,False,True,-0.36542368,0.8530814,0.99708503,
63,2.1,-22.405123,1.0,0.35924035,0.319508,0.34566885,False,True,-0.35132983,0.85217375,0.9958674,
