frame,neck_sagittal_angle,neck_frontal_angle,neck_length,confidence,forward_component,cervical_x,cervical_y,cervical_z,head_x,head_y,head_z
0,0.7227103,4.2597704,0.2210218,1.0,0.012578502,-0.23286297917366028,0.5298589468002319,-0.2733445465564728,-0.3611093759536743,0.6948226690292358,-0.3453894555568695
1,0.7869176,5.345386,0.22091138,1.0,0.013674159,-0.23328924179077148,0.524248480796814,-0.2983070909976959,-0.3634245991706848,0.6850076913833618,-0.3759157657623291
2,2.1467054,7.8910794,0.22106187,1.0,0.037104107,-0.2129453718662262,0.5059769749641418,-0.3776130974292755,-0.34192314743995667,0.6543799042701721,-0.47865593433380127
3,2.7584648,10.606141,0.22131307,1.0,0.047305353,-0.20473088324069977,0.5180344581604004,-0.36497169733047485,-0.33620086312294006,0.6697009801864624,-0.4582046866416931
4,3.698541,12.278265,0.22167154,1.0,0.06303732,-0.20460626482963562,0.5342633128166199,-0.34311574697494507,-0.33867231011390686,0.6906291246414185,-0.4250565767288208
5,4.05929,13.569423,0.22212139,1.0,0.06882225,-0.18685881793498993,0.548287034034729,-0.3394235372543335,-0.32036662101745605,0.7052586078643799,-0.4223301410675049
6,4.822932,13.934369,0.2227279,1.0,0.0816192,-0.1892622411251068,0.5566914081573486,-0.3353913724422455,-0.3282665014266968,0.708429217338562,-0.42060387134552
7,4.1313543,13.568498,0.22351642,1.0,0.070042565,-0.1689831167459488,0.5659947395324707,-0.3364585340023041,-0.30308768153190613,0.7211313247680664,-0.42538657784461975
8,4.335633,13.746477,0.2245268,1.0,0.07344532,-0.1764228343963623,0.570733368396759,-0.3316071927547455,-0.31457504630088806,0.7228414416313171,-0.4221023917198181
9,5.748387,13.93839,0.22536695,1.0,0.09723918,-0.1764865517616272,0.5715721249580383,-0.34155651926994324,-0.31810423731803894,0.7172750234603882,-0.43905195593833923
10,6.0632076,14.781135,0.22588474,1.0,0.102167234,-0.1846354603767395,0.5671721696853638,-0.3562909662723541,-0.3293321132659912,0.7084331512451172,-0.4569494426250458
11,7.922126,12.984607,0.22626662,1.0,0.13436732,-0.18126027286052704,0.5676859617233276,-0.36964327096939087,-0.3226695656776428,0.6969751119613647,-0.4899940490722656
12,10.492635,12.680148,0.22653243,1.0,0.17780975,-0.18762117624282837,0.5601343512535095,-0.3808896541595459,-0.3350967466831207,0.6771433353424072,-0.5068928003311157
13,13.299734,11.779775,0.22664517,1.0,0.22544914,-0.18438118696212769,0.5515393018722534,-0.3966961205005646,-0.3299936056137085,0.652443528175354,-0.5380587577819824
14,14.430087,11.709793,0.22659065,1.0,0.24432486,-0.19551342725753784,0.5435519218444824,-0.4012133479118347,-0.34502339363098145,0.6355984807014465,-0.5444527268409729
15,15.400326,12.528223,0.22639057,1.0,0.2596696,-0.20865824818611145,0.5230858325958252,-0.4162772595882416,-0.36037153005599976,0.5997734069824219,-0.565792441368103
16,14.528257,12.407333,0.2258796,1.0,0.24535528,-0.20878241956233978,0.5051449537277222,-0.4297909438610077,-0.36238372325897217,0.5789534449577332,-0.5780493021011353
17,15.306361,12.96693,0.2253024,1.0,0.2577011,-0.2258586585521698,0.49586838483810425,-0.430747926235199,-0.38529929518699646,0.5628917217254639,-0.575135350227356
18,12.83537,13.153798,0.22467314,1.0,0.21659878,-0.21879088878631592,0.4906235933303833,-0.43443816900253296,-0.37477436661720276,0.5647475719451904,-0.5781490206718445
19,10.962282,13.559196,0.22422731,1.0,0.18504658,-0.21311402320861816,0.49686822295188904,-0.4260922372341156,-0.3680053949356079,0.5811560153961182,-0.5645917654037476
20,9.609274,13.786321,0.2238964,1.0,0.16224776,-0.20466570556163788,0.49128690361976624,-0.4315999746322632,-0.357127845287323,0.583016037940979,-0.5675067901611328
21,9.145896,13.168242,0.22361481,1.0,0.15487103,-0.20162463188171387,0.47364041209220886,-0.44406449794769287,-0.35202351212501526,0.5648095607757568,-0.5821657180786133
22,8.410794,12.599753,0.22346558,1.0,0.14281963,-0.19708451628684998,0.47175726294517517,-0.4465079605579376,-0.3446572721004486,0.5663427114486694,-0.5851179957389832
23,8.753088,11.820708,0.22339663,1.0,0.14902194,-0.19535037875175476,0.4653659462928772,-0.4531986117362976,-0.34048017859458923,0.5575693845748901,-0.5958237051963806
24,8.348578,11.835329,0.22329615,1.0,0.1421715,-0.18915341794490814,0.4580920934677124,-0.4631959795951843,-0.33164525032043457,0.5507059693336487,-0.608040452003479
25,7.9120617,12.173882,0.22318324,1.0,0.13461427,-0.18031054735183716,0.45359352231025696,-0.4668903648853302,-0.32007354497909546,0.5465974807739258,-0.6139526963233948
26,8.639804,11.521914,0.22315197,1.0,0.14726129,-0.1725313365459442,0.44722533226013184,-0.4746810495853424,-0.30832237005233765,0.5342650413513184,-0.6288941502571106
27,10.2052765,10.708597,0.22306381,1.0,0.17418428,-0.17265698313713074,0.4307192265987396,-0.49051448702812195,-0.3067646324634552,0.5041919946670532,-0.6529163122177124
28,10.661337,10.435477,0.22294033,1.0,0.18204571,-0.1705498844385147,0.4154118597507477,-0.5030502676963806,-0.3021722733974457,0.48113325238227844,-0.6705573797225952
29,10.728283,10.534621,0.22274397,1.0,0.18312006,-0.16619159281253815,0.3917085826396942,-0.5239888429641724,-0.2964288294315338,0.4507649838924408,-0.6947678923606873
30,10.67472,10.9844885,0.22257407,1.0,0.18195271,-0.1653440147638321,0.37725764513015747,-0.5361186861991882,-0.29621607065200806,0.43316084146499634,-0.7072518467903137
