frame,úhel_trupu
1,34.58
2,35.69
3,38.76
4,39.43
5,39.29
6,39.71
7,39.62
8,38.89
9,38.36
10,38.14
11,38.55
12,38.64
13,38.71
14,38.75
15,38.96
16,39.40
17,40.68
18,41.88
19,42.92
20,43.56
21,44.17
22,44.70
23,45.18
24,45.74
25,46.58
26,47.13
27,47.61
28,48.41
29,49.59
30,50.89
31,52.65
32,54.36
33,55.74
34,56.64
35,57.12
36,56.87
37,56.42
38,56.03
39,55.88
40,55.63
41,56.16
42,56.58
43,57.27
44,57.84
45,58.50
46,59.61
47,60.91
48,61.93
49,63.81
50,66.15
51,69.85
52,73.03
53,74.76
54,75.92
55,77.51
56,77.88
57,78.07
58,78.45
59,78.47
60,77.97
61,77.49
62,76.59
63,76.09
64,75.74
65,75.28
66,74.51
67,73.32
68,71.70
69,69.51
70,67.45
71,66.12
72,65.42
73,65.16
74,65.43
75,65.81
76,66.05
77,66.21
78,66.31
79,66.07
80,65.72
81,65.60
82,65.42
83,65.22
84,64.98
85,64.92
86,64.86
87,65.08
88,65.33
89,65.59
90,65.77
91,65.95
92,66.23
93,66.45
94,66.59
95,66.66
96,66.72
97,66.72
98,66.86
99,67.05
100,67.21
101,67.40
102,67.60
103,68.35
104,69.90
105,72.41
106,75.92
107,78.95
108,80.57
109,80.02
110,79.42
111,79.22
112,78.90
113,78.34
114,77.77
115,75.96
116,72.96
117,71.08
118,70.14
119,70.24
120,71.05
121,71.76
122,72.01
123,71.32
124,70.01
125,67.47
126,65.73
127,64.42
128,63.68
129,62.71
130,62.42
131,62.32
132,62.50
133,62.98
134,63.72
135,64.17
136,64.19
137,63.50
138,62.20
139,60.35
140,58.14
141,55.77
142,53.49
143,51.38
144,48.96
145,44.50
146,40.98
147,38.12
148,35.21
149,32.58
150,31.38
151,30.20
152,29.55
153,28.99
154,28.44
155,27.20
156,26.28
157,25.31
158,24.47
159,23.37
160,22.87
161,22.59
162,22.76
163,24.15
164,26.71
165,29.17
166,33.73
167,38.26
168,41.40
169,44.27
170,47.86
171,50.85
172,53.74
173,57.13
174,60.22
175,62.63
176,64.62
177,66.27
178,67.39
179,68.39
180,69.41
181,70.45
182,71.67
183,72.97
184,73.88
185,74.43
186,74.73
187,74.86
188,74.88
189,75.16
190,75.58
191,76.50
192,77.67
193,79.24
194,80.71
195,82.16
196,83.29
197,84.15
198,84.77
199,85.33
200,85.99
201,86.64
202,87.14
203,87.66
204,88.30
205,88.86
206,89.21
207,89.71
208,90.22
209,90.55
210,90.85
211,91.36
212,91.95
213,92.44
214,92.71
215,92.82
216,92.73
217,92.47
218,92.06
219,91.58
220,91.14
221,90.67
222,90.02
223,89.35
224,88.67
225,87.98
